Sepal lenght,Sepal width,Petal lenght,Sepal width,Species
5.1,3.5,1.4,0.2,?,orig
5.1,3.5,1.4,0.2,Iris-setosa,0.0
5.1,3.5,1.4,0.3,Iris-setosa,0.09999999999999998
5.0,3.6,1.4,0.2,Iris-setosa,0.1414213562373093
-
4.9,3.0,1.4,0.2,?,orig
4.9,3.0,1.4,0.2,Iris-setosa,0.0
4.8,3.0,1.4,0.3,Iris-setosa,0.14142135623730986
4.8,3.0,1.4,0.1,Iris-setosa,0.1414213562373099
-
4.7,3.2,1.3,0.2,?,orig
4.7,3.2,1.3,0.2,Iris-setosa,0.0
4.6,3.2,1.4,0.2,Iris-setosa,0.14142135623730978
4.6,3.1,1.5,0.2,Iris-setosa,0.24494897427831802
-
6.7,3.0,5.0,1.7,?,orig
6.7,3.0,5.0,1.7,Iris-versicolor,0.0
6.9,3.1,4.9,1.5,Iris-versicolor,0.31622776601683794
6.7,3.1,4.7,1.5,Iris-versicolor,0.374165738677394
-
6.0,2.9,4.5,1.5,?,orig
6.0,2.9,4.5,1.5,Iris-versicolor,0.0
6.1,3.0,4.6,1.4,Iris-versicolor,0.19999999999999973
6.1,2.9,4.7,1.4,Iris-versicolor,0.24494897427831785
-
5.7,2.6,3.5,1.0,?,orig
5.7,2.6,3.5,1.0,Iris-versicolor,0.0
5.5,2.4,3.7,1.0,Iris-versicolor,0.3464101615137758
5.5,2.4,3.8,1.1,Iris-versicolor,0.42426406871192857
-
6.9,3.1,5.4,2.1,?,orig
6.9,3.1,5.4,2.1,Iris-virginica,0.0
6.8,3.0,5.5,2.1,Iris-virginica,0.17320508075688787
6.7,3.0,5.2,2.3,Iris-virginica,0.360555127546399
-
6.7,3.1,5.6,2.4,?,orig
6.7,3.1,5.6,2.4,Iris-virginica,0.0
6.7,3.3,5.7,2.5,Iris-virginica,0.24494897427831785
6.9,3.2,5.7,2.3,Iris-virginica,0.26457513110645947
-
6.9,3.1,5.1,2.3,?,orig
6.9,3.1,5.1,2.3,Iris-virginica,0.0
6.7,3.0,5.2,2.3,Iris-virginica,0.24494897427831822
6.9,3.1,5.4,2.1,Iris-virginica,0.3605551275463994
-
